Month,Accuracy,Precision,Recall,F1 Score
2,0.23485642422972122,0.08412835966342981,0.23485642422972122,0.11825305483374973
1,0.2363957597173145,0.05693253419198273,0.2363957597173145,0.09161136318542273
11,0.2466541092495291,0.0622132443202622,0.2466541092495291,0.09926597608246131
12,0.2460456942003515,0.11755205777992174,0.2460456942003515,0.14745657070326068
9,0.23452593917710196,0.05625320867863414,0.23452593917710196,0.09073349620695358
8,0.22101641079936474,0.07366744315759055,0.22101641079936474,0.09871844897421586
10,0.2443263688760807,0.060803964140893466,0.2443263688760807,0.09737173220345575
6,0.22487046632124352,0.0807449325678247,0.22487046632124352,0.10707272791841414
4,0.2450324799388613,0.08896670893668587,0.2450324799388613,0.117323636739527
7,0.2155848787446505,0.04763833794384178,0.2155848787446505,0.07800349529253099
5,0.25390218522372526,0.10523849683585322,0.25390218522372526,0.1303534482408188
3,0.2331408345752608,0.06371033830585604,0.2331408345752608,0.09019129970841991
