Zipcode,Accuracy,Precision,Recall,F1 Score
11527,0.285714286,0.081632653,0.285714286,0.126984127
14315,0.5,0.25,0.5,0.333333333
11708,1,1,1,1
11001,0.25,0.0625,0.25,0.1
98057,0.142857143,0.020408163,0.142857143,0.035714286
14016,0.333333333,0.111111111,0.333333333,0.166666667
10540,0,0,0,0
11524,0,0,0,0
10536,0.181818182,0.033057851,0.181818182,0.055944056
11038,0,0,0,0
11326,0,0,0,0
11605,0.090909091,0.008264463,0.090909091,0.015151515
12625,0.375,0.140625,0.375,0.204545455
14017,0,0,0,0
10908,0,0,0,0
13033,0.090909091,0.008264463,0.090909091,0.015151515
11020,0,0,0,0
11551,0,0,0,0
11809,0.333333333,0.111111111,0.333333333,0.166666667
11840,0,0,0,0
12548,1,1,1,1
11430,0.333333333,0.111111111,0.333333333,0.166666667
11625,0,0,0,0
14308,0,0,0,0
10146,0.333333333,0.111111111,0.333333333,0.166666667
12722,0,0,0,0
10328,0.333333333,0.111111111,0.333333333,0.166666667
14325,0.15,0.0225,0.15,0.039130435
11327,0.272727273,0.074380165,0.272727273,0.116883117
11744,0,0,0,0
10420,0,0,0,0
11168,0,0,0,0
13336,0,0,0,0
12732,0.2,0.04,0.2,0.066666667
10824,0,0,0,0
11208,0.5,0.25,0.5,0.333333333
10050,0.333333333,0.111111111,0.333333333,0.166666667
10109,0,0,0,0
12727,0.111111111,0.012345679,0.111111111,0.022222222
12019,0.5,0.25,0.5,0.333333333
13733,0.25,0.0625,0.25,0.1
10426,0,0,0,0
11002,0,0,0,0
10034,0,0,0,0
64168,1,1,1,1
10015,0.333333333,0.111111111,0.333333333,0.166666667
10012,0,0,0,0
10418,0.666666667,0.444444444,0.666666667,0.533333333
12735,0.5,0.25,0.5,0.333333333
10422,0.2,0.04,0.2,0.066666667
10627,0,0,0,0
10142,0,0,0,0
13414,0.25,0.0625,0.25,0.1
12316,0,0,0,0
12001,0,0,0,0
10200,0.2,0.04,0.2,0.066666667
14050,0,0,0,0
10729,0.428571429,0.183673469,0.428571429,0.257142857
10027,0.666666667,0.444444444,0.666666667,0.533333333
10214,0.5,0.25,0.5,0.333333333
11315,0.333333333,0.166666667,0.333333333,0.222222222
10314,0.333333333,0.111111111,0.333333333,0.166666667
10503,0,0,0,0
11357,0,0,0,0
12708,0,0,0,0
11332,0.142857143,0.020408163,0.142857143,0.035714286
10703,0.333333333,0.111111111,0.333333333,0.166666667
13230,0.2,0.04,0.2,0.066666667
10032,0.142857143,0.020408163,0.142857143,0.035714286
10601,0,0,0,0
10614,0.25,0.0625,0.25,0.1
11410,0,0,0,0
12342,0.375,0.1875,0.375,0.25
12255,0,0,0,0
10102,0.166666667,0.027777778,0.166666667,0.047619048
12720,0,0,0,0
11726,0.25,0.0625,0.25,0.1
14026,0,0,0,0
11709,0.125,0.015625,0.125,0.027777778
10427,0.222222222,0.049382716,0.222222222,0.080808081
11019,0.333333333,0.111111111,0.333333333,0.166666667
13015,0,0,0,0
10334,0.222222222,0.049382716,0.222222222,0.080808081
10306,0.333333333,0.111111111,0.333333333,0.166666667
11933,0,0,0,0
11116,0,0,0,0
12216,0,0,0,0
12002,0,0,0,0
13751,0,0,0,0
12556,0.2,0.04,0.2,0.066666667
10064,0,0,0,0
12226,0.285714286,0.081632653,0.285714286,0.126984127
12736,0.5,0.25,0.5,0.333333333
10404,0,0,0,0
12034,0.125,0.015625,0.125,0.027777778
11610,0,0,0,0
13035,0.18,0.0324,0.18,0.054915254
10020,0.74,0.5476,0.74,0.629425287
12800,0,0,0,0
10035,0.153846154,0.023668639,0.153846154,0.041025641
10445,0,0,0,0
10215,0.25,0.0625,0.25,0.1
13711,0,0,0,0
